date,economy_avg_sent,fed_avg_sent,finance_avg_sent,inflation_avg_sent,interest rate_avg_sent,tech regulation_avg_sent,trade war_avg_sent,trump_avg_sent
1/21/2025,0.052428571,0,-0.179414286,0,0,0,0,0
1/22/2025,-0.0711,-0.30775,0.079685714,0.43635,0.25,-0.7351,0.2732,-0.040710909
1/23/2025,-0.112114286,-0.064,-0.091325,0.21252,0.123566667,0.4939,-0.29236,0.038117308
1/24/2025,0.195993333,-0.5994,0.09852,0.07822,0.4019,0.4041,-0.20145,-0.146423077
1/25/2025,0.07176,-0.1806,-0.0768,0.52575,0.0772,-0.296,-0.127533333,0.00131875
1/26/2025,0.1704625,0,0.1091,0,0.2732,0,-0.2732,-0.054189474
1/27/2025,-0.123066667,0.1461,-0.1867,0.6068,-0.22465,-0.5106,0.182733333,-0.129711111
1/28/2025,-0.261194737,0,0.00459,0,0,0,0,0
1/29/2025,0.031408333,0.14715,0.007095833,0.4019,0,-0.296,0.087225,-0.145519403
1/30/2025,-0.124533333,-0.127075,0.06305,-0.4088,0.6486,0,0.065966667,-0.003301471
1/31/2025,-0.009122222,0.446266667,0.0816,-0.2737,0,0,0.00465,-0.191
2/1/2025,0.155626667,0.4933,0.2861,-0.0258,-0.1531,0,0.574866667,-0.053633333
2/2/2025,-0.0278,0.37765,0.0341,0,-0.8442,0,-0.140357143,-0.072133333
2/3/2025,-0.065405556,-0.2817,0.049475,0,0.5825,0,-0.001014286,-0.1312
2/4/2025,-0.104095455,0,0.303,0,0,0,0,0
2/5/2025,0.044492857,0.4939,-0.16566,-0.04025,-0.296,-0.75895,-0.29654,-0.084013043
2/6/2025,0.02939375,0.05875,-0.065516667,-0.125833333,0.05135,0.2732,0.059883333,-0.077147541
2/7/2025,0.10097,0.052866667,0.162963636,0,-0.46415,0,0.08038,-0.111808621
2/8/2025,-0.196176923,0.31845,0.3715,0.1027,-0.2263,-0.092066667,0.38775,-0.218391892
2/9/2025,-0.0144,-0.4053,-0.05,0.0193,-0.34,0,-0.479333333,-0.0468625
2/10/2025,-0.200530769,0,0.279733333,-0.162433333,0,-0.04425,-0.196033333,0.082626316
2/11/2025,-0.3190375,0,0.101728571,0,0,0,0,0
2/12/2025,-0.16447,0,-0.130233333,-0.132366667,-0.3404,0,-0.06205,0.017443284
2/13/2025,0.040155,-0.116933333,0.11716,-0.0258,0.65175,0.7717,-0.32175,-0.021441791
2/14/2025,-0.018468421,-0.1786,0.1645,-0.048966667,0,0,0.28155,-0.124485484
2/15/2025,0.068157143,-0.3173,0.225433333,-0.04494,0,0,0.2836,-0.031764706
2/16/2025,-0.111011111,0.5859,-0.442,0.2384,0,0,0.22935,-0.270421053
2/17/2025,-0.073714286,0,-0.2357,-0.296,0.3612,0,0.7184,-0.117342857
2/18/2025,-0.156563636,0,-0.46645,0,0,0,0,0
2/19/2025,-0.073127273,0.1918,0.04712,0.083333333,0.358066667,0.296,0.025328571,-0.089025
2/20/2025,0.025070588,0,0.2345,0.453533333,0,0,0.0278,-0.104959649
2/21/2025,-0.201895238,0.26335,0.00021,0.6212,0,-0.1779,0.2986,-0.08215
2/22/2025,0.108466667,0,0.0258,-0.6249,0.44785,0,0.29675,-0.158530556
2/23/2025,-0.009646154,-0.5267,-0.0351,0,0,0,-0.348933333,0.001505263
2/24/2025,0.037047059,0,-0.3334,-0.7184,0.34,0.2023,0.02465,0.063897143
2/25/2025,0.02260625,0,-0.18326,0,0,0,0,0
2/26/2025,-0.025808333,0,0.131863636,-0.6797,-0.1655,-0.25,-0.259166667,-0.058170833
2/27/2025,0.178144444,-0.23385,-0.037766667,-0.6369,-0.31275,-0.298833333,0,-0.112135294
2/28/2025,0.056876471,-0.13185,0.150811111,0.0276,0.11035,0,0.055525,-0.082742857
3/1/2025,-0.019884615,0.22485,-0.26994,-0.802,0,0,0.502066667,-0.191221622
3/2/2025,0.02938,0,0.01674,0.4721,0,0,-0.70005,-0.110278571
3/3/2025,-0.1375875,-0.7003,-0.005525,0.21625,0.2541,0,-0.169,-0.082247368
3/4/2025,-0.176142857,-0.349633333,0.031271429,-0.0243,0,0,0.00173,-0.188457778
3/5/2025,-0.067255556,-0.0696,0.0085125,0.108433333,0.5152,0,0.096022222,-0.080726087
3/6/2025,-0.241633333,-0.3568,-0.1300875,0.2618,-0.316833333,0,-0.226775,0.002567692
3/8/2025,0.09164,-0.2732,-0.2415,0.0225,0.3612,0,-0.5423,0.015051613
3/9/2025,-0.045228571,0,0.397666667,0.3182,0,0,0.5574,-0.163294737
3/10/2025,-0.323515789,0.53675,0.9032,0.442733333,0,0,0.179233333,-0.18111087
3/11/2025,-0.118595,-0.154525,0.66785,-0.174066667,-0.2817,0,-0.1518375,-0.061117391
3/12/2025,-0.156405556,-0.12086,-0.0602,-0.198585714,0,0,0.271228571,-0.031963158
3/13/2025,0.011691667,-0.2602,0.1796,-0.1779,0,0,-0.22568,-0.115004839
3/15/2025,-0.247885714,-0.0029,-0.365825,0,-0.2603,0,-0.5647,-0.057627586
3/16/2025,-0.114883333,-0.5859,0.18455,0,0,0,0.4404,-0.112290476
3/17/2025,-0.293771429,-0.6563,0.2456,0.7778,0,0,0.38715,-0.083291892
3/18/2025,-0.022388889,0.2787,0.165942857,0.06545,0.7184,-0.1531,-0.377175,-0.13061129
3/19/2025,-0.102705,-0.025914286,0.45615,-0.550033333,0,0,-0.03442,-0.12315
3/20/2025,-0.085246667,-0.20136,0.155833333,-0.254466667,-0.5144,0,-0.2202,-0.127561702
3/22/2025,0.1224875,0.035033333,0.24048,0,0.34,0,0.8834,-0.088618519
3/23/2025,0.074155556,0.418,0.25496,-0.4404,0,0,0.431,-0.077995455
3/24/2025,-0.1395,-0.366875,-0.065983333,0,-0.40865,0.4019,-0.009866667,-0.083726
